feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.11249,negative,ARI
ewm_net_pts_home,-0.098471,negative,ARI
elo_away,0.096354,positive,ARI
ewm_ypp_away,0.087393,positive,ARI
ewm_ypp_diff,0.054099,positive,ARI
pace_plays_min_diff,0.036627,positive,ARI
elo_diff,0.029923,positive,ARI
ewm_net_pts_away,0.025296,positive,ARI
altitude_home,-0.025091,negative,ARI
ewm_ypp_home,-0.013731,negative,ARI
elo_home,-0.0132,negative,ARI
win_pct_away,0.012141,positive,ARI
is_dome_home,-0.007591,negative,ARI
win_pct_diff,-0.005416,negative,ARI
rest_days_away,0.0051,positive,ARI
rest_days_home,0.004306,positive,ARI
div_game,0.003657,positive,ARI
win_pct_home,0.002132,positive,ARI
travel_miles_diff,-0.002024,negative,ARI
prime_time,-0.001467,negative,ARI
rest_days_diff,0.001225,positive,ARI
rest_short_diff,-0.000431,negative,ARI
