feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.171337,positive,JAX
elo_diff,0.136747,positive,JAX
ewm_net_pts_home,0.118692,positive,JAX
ewm_ypp_away,0.076455,positive,JAX
ewm_ypp_diff,0.053911,positive,JAX
pace_plays_min_diff,0.046339,positive,JAX
travel_miles_diff,0.04554,positive,JAX
elo_away,0.043093,positive,JAX
elo_home,0.029593,positive,JAX
ewm_net_pts_away,0.027411,positive,JAX
ewm_ypp_home,0.017429,positive,JAX
win_pct_away,0.012197,positive,JAX
is_dome_home,0.01096,positive,JAX
rest_days_away,0.007909,positive,JAX
altitude_home,-0.006961,negative,JAX
rest_days_home,0.004927,positive,JAX
win_pct_diff,-0.004708,negative,JAX
win_pct_home,0.003343,positive,JAX
div_game,0.002638,positive,JAX
prime_time,-0.001563,negative,JAX
rest_days_diff,2.5e-05,positive,JAX
rest_short_diff,1e-05,positive,JAX
