feature,shap_value,signed_effect,perspective_team
elo_diff,0.141788,positive,MIN
ewm_ypp_away,-0.113459,negative,MIN
ewm_net_pts_diff,0.109383,positive,MIN
ewm_net_pts_home,0.054888,positive,MIN
pace_plays_min_diff,0.038556,positive,MIN
altitude_home,0.033399,positive,MIN
is_dome_home,-0.028155,negative,MIN
travel_miles_diff,-0.023964,negative,MIN
ewm_ypp_diff,-0.023212,negative,MIN
elo_home,0.018802,positive,MIN
win_pct_away,0.015345,positive,MIN
ewm_net_pts_away,0.006029,positive,MIN
rest_days_away,0.004732,positive,MIN
elo_away,-0.004168,negative,MIN
ewm_ypp_home,-0.003357,negative,MIN
rest_days_diff,-0.002966,negative,MIN
rest_days_home,0.002583,positive,MIN
div_game,-0.002489,negative,MIN
prime_time,-0.002283,negative,MIN
rest_short_diff,-0.000858,negative,MIN
win_pct_diff,-0.000471,negative,MIN
win_pct_home,-0.000244,negative,MIN
