feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,-0.113883,negative,WAS
pace_plays_min_diff,0.079649,positive,WAS
elo_home,-0.077582,negative,WAS
ewm_ypp_diff,-0.069096,negative,WAS
elo_away,0.037598,positive,WAS
travel_miles_diff,0.037501,positive,WAS
ewm_net_pts_away,0.017666,positive,WAS
win_pct_away,0.010654,positive,WAS
altitude_home,-0.007755,negative,WAS
is_dome_home,0.007266,positive,WAS
win_pct_diff,-0.007168,negative,WAS
div_game,-0.004147,negative,WAS
rest_days_home,0.003912,positive,WAS
rest_days_away,0.003897,positive,WAS
ewm_ypp_home,0.002785,positive,WAS
ewm_net_pts_home,-0.001915,negative,WAS
ewm_net_pts_diff,0.001827,positive,WAS
win_pct_home,0.001761,positive,WAS
rest_days_diff,-0.001554,negative,WAS
prime_time,-0.000853,negative,WAS
rest_short_diff,-0.000808,negative,WAS
elo_diff,-0.000306,negative,WAS
