feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.153023,positive,DEN
ewm_ypp_away,0.121055,positive,DEN
ewm_net_pts_home,0.065231,positive,DEN
elo_away,-0.062931,negative,DEN
elo_home,0.037778,positive,DEN
elo_diff,0.034715,positive,DEN
ewm_ypp_diff,0.026229,positive,DEN
pace_plays_min_diff,0.024785,positive,DEN
ewm_net_pts_away,0.024029,positive,DEN
is_dome_home,0.013486,positive,DEN
ewm_ypp_home,-0.012892,negative,DEN
rest_days_away,0.01047,positive,DEN
travel_miles_diff,0.010081,positive,DEN
win_pct_diff,-0.009766,negative,DEN
win_pct_away,0.008308,positive,DEN
div_game,-0.00726,negative,DEN
altitude_home,-0.006952,negative,DEN
rest_days_home,0.003681,positive,DEN
prime_time,-0.002565,negative,DEN
win_pct_home,0.001621,positive,DEN
rest_days_diff,-0.001311,negative,DEN
rest_short_diff,-0.000421,negative,DEN
