feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,-0.122116,negative,LA
elo_away,-0.089973,negative,LA
ewm_ypp_home,-0.072007,negative,LA
ewm_net_pts_diff,-0.067917,negative,LA
pace_plays_min_diff,0.057461,positive,LA
ewm_net_pts_away,-0.049561,negative,LA
ewm_net_pts_home,0.044024,positive,LA
travel_miles_diff,0.038317,positive,LA
is_dome_home,-0.028296,negative,LA
win_pct_diff,-0.020427,negative,LA
elo_diff,-0.008991,negative,LA
win_pct_away,0.00872,positive,LA
altitude_home,-0.007779,negative,LA
div_game,-0.005184,negative,LA
ewm_ypp_diff,0.005037,positive,LA
prime_time,-0.004016,negative,LA
elo_home,0.003541,positive,LA
rest_days_away,0.003459,positive,LA
win_pct_home,-0.002908,negative,LA
rest_days_diff,-0.002233,negative,LA
rest_days_home,0.000912,positive,LA
rest_short_diff,-0.000495,negative,LA
