feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.147824,positive,NO
elo_diff,-0.143492,negative,NO
ewm_ypp_away,0.074596,positive,NO
elo_home,-0.064165,negative,NO
travel_miles_diff,0.055475,positive,NO
ewm_ypp_diff,0.050882,positive,NO
pace_plays_min_diff,0.046306,positive,NO
ewm_net_pts_home,0.041811,positive,NO
elo_away,0.033341,positive,NO
ewm_ypp_home,0.023068,positive,NO
is_dome_home,-0.015616,negative,NO
ewm_net_pts_away,0.013839,positive,NO
altitude_home,-0.011621,negative,NO
win_pct_away,0.011365,positive,NO
win_pct_diff,-0.010533,negative,NO
rest_days_away,0.007544,positive,NO
rest_days_home,0.006286,positive,NO
div_game,-0.006082,negative,NO
win_pct_home,0.005239,positive,NO
prime_time,-0.00236,negative,NO
rest_short_diff,-0.000536,negative,NO
rest_days_diff,0.000201,positive,NO
