feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
elo_diff,-1.4018,-2.5964,0.139816,0.063374,0.076442,1.194562,32.626221,False,OK,16.271,250,77
win_pct_diff,0.007,-0.0078,0.179314,0.102872,0.076442,0.014868,0.061087,False,OK,10.675,250,77
rest_days_diff,-0.1299,-0.092,0.119947,0.043505,0.076442,-0.03787,0.722894,False,OK,5.106,250,77
is_dome_home,0.3247,0.348,0.0,0.0,0.076442,-0.023325,0.09304,False,OK,4.614,250,77
ewm_net_pts_diff,0.866,-0.8715,0.074897,0.0,0.076442,1.737536,2.15137,False,OK,14.101,250,77
ewm_ypp_diff,-0.0428,-0.0118,0.127467,0.051025,0.076442,-0.03098,0.139687,False,OK,11.986,250,77
pace_plays_min_diff,0.0173,-0.0057,0.168076,0.091634,0.076442,0.022995,0.024197,False,OK,8.482,250,77
rest_short_diff,0.039,0.012,0.019161,0.0,0.076442,0.026961,0.076565,False,OK,3.756,250,77
div_game,0.5065,0.348,0.0,0.0,0.076442,0.158494,0.094522,False,OK,4.479,250,77
travel_miles_diff,-856.5785,-967.8748,0.115474,0.039032,0.076442,111.296268,127.278302,False,OK,9.848,250,77
altitude_home,669.9481,606.62,0.040583,0.0,0.076442,63.328052,185.161358,False,OK,5.886,250,77
prime_time,0.2078,0.224,0.0,0.0,0.076442,-0.016208,0.081248,False,OK,4.797,250,77
