rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,CAR,Hurricanes,1697.6,125,73,125-73,0.631,0,,,
2,BUF,Sabres,1599.8,93,84,93-84,0.525,0,,,
3,COL,Avalanche,1593.6,115,69,115-69,0.625,0,,,
4,MTL,Canadiens,1581.7,98,90,98-90,0.521,0,,,
5,VGK,Golden Knights,1576.9,108,89,108-89,0.548,0,,,
6,TBL,Lightning,1570.8,101,75,101-75,0.574,0,,,
7,DAL,DAL,1554.3,111,77,111-77,0.59,0,,,
8,WSH,Capitals,1541.2,99,75,99-75,0.569,0,,,
9,MIN,MIN,1537.7,98,83,98-83,0.541,0,,,
10,OTT,Senators,1530.7,91,83,91-83,0.523,0,,,
11,PHI,Flyers,1530.4,80,94,80-94,0.46,0,,,
12,STL,Blues,1518.6,84,87,84-87,0.491,0,,,
13,BOS,BOS,1517.9,80,90,80-90,0.471,0,,,
14,NJD,Devils,1502.3,85,84,85-84,0.503,0,,,
15,UTA,Mammoth,1500.3,83,87,83-87,0.488,0,,,
16,CBJ,Blue Jackets,1495.3,80,84,80-84,0.488,0,,,
17,PIT,Penguins,1493.6,77,93,77-93,0.453,0,,,
18,NYI,Islanders,1493.5,78,86,78-86,0.476,0,,,
19,EDM,Oilers,1491.1,105,87,105-87,0.547,0,,,
20,ANA,Ducks,1488.7,84,92,84-92,0.477,0,,,
21,FLA,Panthers,1486.0,103,84,103-84,0.551,0,,,
22,NSH,Predators,1473.1,68,96,68-96,0.415,0,,,
23,DET,Red Wings,1458.9,80,84,80-84,0.488,0,,,
24,CGY,Flames,1456.1,75,89,75-89,0.457,0,,,
25,SJS,Sharks,1455.0,59,105,59-105,0.36,0,,,
26,WPG,WPG,1454.1,97,80,97-80,0.548,0,,,
27,NYR,NYR,1448.3,73,91,73-91,0.445,0,,,
28,LAK,Kings,1432.5,85,89,85-89,0.489,0,,,
29,SEA,Kraken,1405.5,69,95,69-95,0.421,0,,,
30,TOR,TOR,1392.4,91,86,91-86,0.514,0,,,
31,CHI,Blackhawks,1372.3,54,110,54-110,0.329,0,,,
32,VAN,Canucks,1350.1,63,101,63-101,0.384,0,,,
