feature,shap_value,signed_effect,perspective_team
home_team_id,0.216051,positive,BOS
pp_success_diff,0.141225,positive,BOS
shots_against_per_game_diff,-0.138006,negative,BOS
elo_diff,0.113552,positive,BOS
ewm_goal_share_diff,0.100012,positive,BOS
rest_days_away,-0.069733,negative,BOS
goalie_gaa_away,-0.069191,negative,BOS
goalie_gaa_diff,0.06828,positive,BOS
elo_away,0.063277,positive,BOS
win_pct_home,0.060947,positive,BOS
rest_days_home,-0.058348,negative,BOS
shots_for_per_game_diff,0.056909,positive,BOS
elo_home,-0.041343,negative,BOS
goalie_starts_diff,0.032829,positive,BOS
goalie_gaa_home,-0.021765,negative,BOS
goalie_sv_pct_home,-0.019276,negative,BOS
win_pct_away,-0.018391,negative,BOS
ewm_net_goals_away,0.018183,positive,BOS
ga_per_game_diff,-0.017824,negative,BOS
faceoff_win_diff,-0.012038,negative,BOS
ewm_net_goals_diff,0.011968,positive,BOS
ewm_net_goals_home,0.009679,positive,BOS
goalie_sv_pct_away,0.007779,positive,BOS
back_to_back_diff,-0.005496,negative,BOS
away_team_id,-0.005389,negative,BOS
goalie_sv_pct_diff,-0.004057,negative,BOS
rest_days_diff,0.002164,positive,BOS
win_pct_diff,-0.000459,negative,BOS
is_playoffs,0.0,negative,BOS
is_home,0.0,negative,BOS
