feature,current_mean,baseline_mean,psi,psi_adjusted,status,weight_pct,n_baseline,n_current
elo_diff,6.071978401210057,1.7456085843433928,1.5052625837050073,1.5052625837050073,ALERT,0.0,270,60
win_pct_diff,0.028661616161616166,0.0250989898989899,0.32873165074790534,0.32873165074790534,ALERT,0.0,250,60
rest_days_diff,0.4166666666666667,0.256,0.03027146717976123,0.03027146717976123,OK,0.0,250,60
ewm_net_goals_diff,0.21222646009331775,0.14798485986456386,0.07926277385484609,0.07926277385484609,OK,0.0,250,60
ewm_goal_share_diff,0.006122015583166505,0.009404090345529099,0.2906275694558476,0.2906275694558476,ALERT,0.0,250,60
ga_per_game_diff,-0.016666666666666705,0.015133333333333311,0.3283156317543299,0.3283156317543299,ALERT,0.0,250,60
back_to_back_diff,-0.1,-0.092,0.00028713612706581106,0.00028713612706581106,OK,0.0,250,60
goalie_sv_pct_diff,0.0006821950147476384,0.002838189932132191,0.19518126305224204,0.19518126305224204,WARN,0.0,221,58
goalie_gaa_diff,,,,,OK,0.0,0,0
goalie_starts_diff,0.11666666666666667,0.09259259259259259,0.4729166470117912,0.4729166470117912,ALERT,0.0,270,60
is_playoffs,0.0,0.0,,,OK,0.0,270,60
elo_home,1503.75488964529,1500.4612343730926,0.28048342985879227,0.28048342985879227,ALERT,0.0,270,60
elo_away,1497.6829112440796,1498.715625788749,1.4869211210922448,1.4869211210922448,ALERT,0.0,270,60
win_pct_home,0.5210858585858585,0.5074576938213302,1.194570086840605,1.194570086840605,ALERT,0.0,253,60
win_pct_away,0.49242424242424243,0.49324986560280676,0.6033431019189525,0.6033431019189525,ALERT,0.0,255,60
ewm_net_goals_home,0.15284003145206898,0.06391351455208624,0.15417388828918172,0.15417388828918172,WARN,0.0,253,60
ewm_net_goals_away,-0.059386428641248726,-0.06185912624576879,0.2346761598002962,0.2346761598002962,WARN,0.0,255,60
rest_days_home,2.533333333333333,2.4071146245059287,0.01606688571493709,0.01606688571493709,OK,0.0,253,60
rest_days_away,2.1166666666666667,2.1372549019607843,0.017626262137118365,0.017626262137118365,OK,0.0,255,60
goalie_sv_pct_home,0.8904657638980362,0.8915455391468623,0.17571381867487487,0.17571381867487487,WARN,0.0,233,59
goalie_sv_pct_away,0.8900039199770209,0.8880696041969457,0.1720041333364771,0.1720041333364771,WARN,0.0,235,59
goalie_gaa_home,,,,,OK,0.0,0,0
goalie_gaa_away,,,,,OK,0.0,0,0
is_home,1.0,1.0,,,OK,0.0,270,60
